,Part,Value,Device,Package,Description
x,B1,JST 2-PH,BATTERY,JSTPH2,CR1220 SMT - Digikey: 3001K-ND
x,C1,100nF,C-USC0603,C0603,"CAPACITOR, American symbol"
x,C2,10uF,C-USC1210,C1210,"CAPACITOR, American symbol"
,C3,,C-USC0805,C0805,"CAPACITOR, American symbol"
x,C9,100nF,C-USC0603,C0603,"CAPACITOR, American symbol"
x,C10,100uF,CPOL-USC/6032-28R,C/6032-28R,"POLARIZED CAPACITOR, American symbol"
x,C11,100nF,C-USC0603,C0603,"CAPACITOR, American symbol"
x,C12,1uF,C-USC0805,C0805,"CAPACITOR, American symbol"
x,C13,100uF,CPOL-USC/6032-28R,C/6032-28R,"POLARIZED CAPACITOR, American symbol"
x,C14,100nF,C-USC0603,C0603,"CAPACITOR, American symbol"
x,C15,2.2uF,C-USC0805,C0805,"CAPACITOR, American symbol"
x,C16,100nF,C-USC0603,C0603,"CAPACITOR, American symbol"
x,CHRG,ORANGE,LEDSML0603,CHIPLED_0805_NOOUTLINE,LED
x,DONE,GREEN,LEDSML0603,CHIPLED_0805_NOOUTLINE,LED
x,HARDRST,SPST_TACT-KMR2,SPST_TACT-KMR2,KMR2,"SMT 6mm switch, EVQQ2 series"
x,L1,6.8uH,INDUCTORTDK_VLC5045,INDUCTOR_5X5MM_TDK_VLC5045,Inductors
x,LOGO_B,,XZFBB45S-9,PLCC2_LED,Blue Reverse PLCC LED
x,LOGO_G,,XZVG45WT-9 ,PLCC2_LED,Green Reverse PLCC LED
x,LOGO_R,,XZMDK45WT-9,PLCC2_LED,Red Reverse PLCC LED
x,LOW_BATT,RED,LEDSML0603,CHIPLED_0805_NOOUTLINE,LED
x,R1,1k,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R2,300R,R-US_R0603,R0603,"RESISTOR, American symbol"
,R3,0R,R-US_R0805,R0805,"RESISTOR, American symbol"
x,R6,10k,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R7,10k,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R8,68R,R-US_R0805,R0805,"RESISTOR, American symbol"
x,R9,200k,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R10,2.2k,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R11,2.2k,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R12,300R,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R18,200K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R19,1.12M,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R20,1K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R21,200K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R22,68R,R-US_R0805,R0805,"RESISTOR, American symbol"
x,R23,340K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R24,1.87M,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R25,270K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R26,100K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R27,1K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R28,1K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R29,1K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,R30,100K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,RX,RED,LEDSML0603,SML0603,LED RED
x,SOFTRESET,SPST_TACT-KMR2,SPST_TACT-KMR2,KMR2,"SMT 6mm switch, EVQQ2 series"
x,T1,, MMBT3904-TP ,SOT23-BEC,NPN Transistror
x,T2,, MMBT3904-TP ,SOT23-BEC,NPN Transistror
x,T3,MMUN2133LT1G,MUN2114T1-PNP_DRIVER-SC59-BEC,SC59-BEC,PNP Bias Resistor Transistor
x,THERM,15K,R-US_R0603,R0603,"RESISTOR, American symbol"
x,TX,GREEN,LEDSML0603,SML0603,LED GREEN
x,U$2,SPI_TFT,SPI_TFT,SPI_TFT,320x240 TFT Display
x,U$7,MLX90640,MLX90640,MLX90640,32x24 Thermal Sensor
x,U$8,JS202011JAQN,JS202011JAQN,JS202011JAQN,Side mount SPDT switch
x,U1,ESP-WROOM-03,ESP-WROOM-03,ESP-WROOM-03,ESP32
x,U3,,CP2104,QFN24_4MM_SMSC,CP2104 - USB to UART Bridge
x,U4,TPS61090RSAR,VREG_TPS6103X,PVQFN-16,"TPS6103x 4A Boost - 1.8-5.5V Input, Adjustable Output to 5.5V"
x,U5,MCP73871,MCP73871,QFN20_4MM,MCP73871 Lithium Polymer Battery Charger
x,X1,,USB_MICRO_20329_V2,4UCONN_20329_V2,USB Connectors
x,POT,POT_DIAL,10k POT LINEAR,PANEL_MOUNT,"13MM WIDE, PANEL MOUNT"
,POT_KNOB, ,,,Potentiometer Knob Cap
x,RF_ANTENNA,2.4GHz,WiFi antenna," U.FL (UMCC), IPEX MHF1 ",
